dt_local,hour_local,topic_mid,value,topic_label,geo,run_id,phase
2025-08-15 08:00:00+02:00,8,/m/01wgr,36,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 09:00:00+02:00,9,/m/01wgr,27,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 10:00:00+02:00,10,/m/01wgr,28,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 11:00:00+02:00,11,/m/01wgr,27,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 12:00:00+02:00,12,/m/01wgr,22,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 13:00:00+02:00,13,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 14:00:00+02:00,14,/m/01wgr,30,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 15:00:00+02:00,15,/m/01wgr,28,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 16:00:00+02:00,16,/m/01wgr,38,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 17:00:00+02:00,17,/m/01wgr,28,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 18:00:00+02:00,18,/m/01wgr,30,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 19:00:00+02:00,19,/m/01wgr,21,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 20:00:00+02:00,20,/m/01wgr,15,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 21:00:00+02:00,21,/m/01wgr,25,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 22:00:00+02:00,22,/m/01wgr,31,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-15 23:00:00+02:00,23,/m/01wgr,37,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 00:00:00+02:00,0,/m/01wgr,53,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 01:00:00+02:00,1,/m/01wgr,43,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 02:00:00+02:00,2,/m/01wgr,63,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 03:00:00+02:00,3,/m/01wgr,60,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 04:00:00+02:00,4,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 05:00:00+02:00,5,/m/01wgr,76,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 06:00:00+02:00,6,/m/01wgr,72,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 07:00:00+02:00,7,/m/01wgr,59,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 08:00:00+02:00,8,/m/01wgr,40,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 09:00:00+02:00,9,/m/01wgr,35,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 10:00:00+02:00,10,/m/01wgr,26,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 11:00:00+02:00,11,/m/01wgr,25,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 12:00:00+02:00,12,/m/01wgr,26,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 13:00:00+02:00,13,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 14:00:00+02:00,14,/m/01wgr,28,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 15:00:00+02:00,15,/m/01wgr,32,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 16:00:00+02:00,16,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 17:00:00+02:00,17,/m/01wgr,23,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 18:00:00+02:00,18,/m/01wgr,25,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 19:00:00+02:00,19,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 20:00:00+02:00,20,/m/01wgr,14,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 21:00:00+02:00,21,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 22:00:00+02:00,22,/m/01wgr,26,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-16 23:00:00+02:00,23,/m/01wgr,26,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 00:00:00+02:00,0,/m/01wgr,38,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 01:00:00+02:00,1,/m/01wgr,58,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 02:00:00+02:00,2,/m/01wgr,91,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 03:00:00+02:00,3,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 04:00:00+02:00,4,/m/01wgr,79,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 05:00:00+02:00,5,/m/01wgr,63,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 06:00:00+02:00,6,/m/01wgr,51,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 07:00:00+02:00,7,/m/01wgr,70,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 08:00:00+02:00,8,/m/01wgr,43,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 09:00:00+02:00,9,/m/01wgr,35,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 10:00:00+02:00,10,/m/01wgr,33,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 11:00:00+02:00,11,/m/01wgr,22,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 12:00:00+02:00,12,/m/01wgr,32,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 13:00:00+02:00,13,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 14:00:00+02:00,14,/m/01wgr,35,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 15:00:00+02:00,15,/m/01wgr,46,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 16:00:00+02:00,16,/m/01wgr,24,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 17:00:00+02:00,17,/m/01wgr,25,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 18:00:00+02:00,18,/m/01wgr,21,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 19:00:00+02:00,19,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 20:00:00+02:00,20,/m/01wgr,17,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 21:00:00+02:00,21,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 22:00:00+02:00,22,/m/01wgr,38,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-17 23:00:00+02:00,23,/m/01wgr,37,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 00:00:00+02:00,0,/m/01wgr,56,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 01:00:00+02:00,1,/m/01wgr,93,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 02:00:00+02:00,2,/m/01wgr,87,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 03:00:00+02:00,3,/m/01wgr,95,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 04:00:00+02:00,4,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 05:00:00+02:00,5,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 06:00:00+02:00,6,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 07:00:00+02:00,7,/m/01wgr,49,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 08:00:00+02:00,8,/m/01wgr,28,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 09:00:00+02:00,9,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 10:00:00+02:00,10,/m/01wgr,22,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 11:00:00+02:00,11,/m/01wgr,22,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 12:00:00+02:00,12,/m/01wgr,25,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 13:00:00+02:00,13,/m/01wgr,28,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 14:00:00+02:00,14,/m/01wgr,30,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 15:00:00+02:00,15,/m/01wgr,24,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 16:00:00+02:00,16,/m/01wgr,19,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 17:00:00+02:00,17,/m/01wgr,26,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 18:00:00+02:00,18,/m/01wgr,24,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 19:00:00+02:00,19,/m/01wgr,25,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 20:00:00+02:00,20,/m/01wgr,18,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 21:00:00+02:00,21,/m/01wgr,22,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 22:00:00+02:00,22,/m/01wgr,25,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-18 23:00:00+02:00,23,/m/01wgr,42,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 00:00:00+02:00,0,/m/01wgr,52,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 01:00:00+02:00,1,/m/01wgr,54,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 02:00:00+02:00,2,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 03:00:00+02:00,3,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 04:00:00+02:00,4,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 05:00:00+02:00,5,/m/01wgr,100,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 06:00:00+02:00,6,/m/01wgr,57,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 07:00:00+02:00,7,/m/01wgr,41,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 08:00:00+02:00,8,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 09:00:00+02:00,9,/m/01wgr,17,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 10:00:00+02:00,10,/m/01wgr,21,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 11:00:00+02:00,11,/m/01wgr,13,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 12:00:00+02:00,12,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 13:00:00+02:00,13,/m/01wgr,27,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 14:00:00+02:00,14,/m/01wgr,25,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 15:00:00+02:00,15,/m/01wgr,32,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 16:00:00+02:00,16,/m/01wgr,27,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 17:00:00+02:00,17,/m/01wgr,23,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 18:00:00+02:00,18,/m/01wgr,27,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 19:00:00+02:00,19,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 20:00:00+02:00,20,/m/01wgr,16,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 21:00:00+02:00,21,/m/01wgr,24,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 22:00:00+02:00,22,/m/01wgr,36,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-19 23:00:00+02:00,23,/m/01wgr,40,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 00:00:00+02:00,0,/m/01wgr,78,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 01:00:00+02:00,1,/m/01wgr,45,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 02:00:00+02:00,2,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 03:00:00+02:00,3,/m/01wgr,67,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 04:00:00+02:00,4,/m/01wgr,0,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 05:00:00+02:00,5,/m/01wgr,97,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 06:00:00+02:00,6,/m/01wgr,35,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 07:00:00+02:00,7,/m/01wgr,41,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 08:00:00+02:00,8,/m/01wgr,31,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 09:00:00+02:00,9,/m/01wgr,23,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 10:00:00+02:00,10,/m/01wgr,15,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 11:00:00+02:00,11,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 12:00:00+02:00,12,/m/01wgr,21,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 13:00:00+02:00,13,/m/01wgr,24,cardiologie,FR,78bb1073,hourly_7d_bootstrap
2025-08-20 14:00:00+02:00,14,/m/01wgr,20,cardiologie,FR,78bb1073,hourly_7d_bootstrap
